Date,Close/Last,Volume,Open,High,Low
7/11/2025,$146.42 ,50049180,$142.60 ,$147.40 ,$141.60 
7/10/2025,$144.16 ,61101470,$143.00 ,$145.82 ,$141.85 
7/9/2025,$138.41 ,37013130,$138.69 ,$140.65 ,$137.59 
7/8/2025,$137.82 ,36124610,$137.32 ,$139.15 ,$135.91 
7/7/2025,$134.80 ,37395010,$136.56 ,$137.44 ,$133.50 
7/3/2025,$137.91 ,28645990,$139.11 ,$139.50 ,$137.32 
7/2/2025,$138.52 ,39227990,$135.53 ,$139.78 ,$135.22 
7/1/2025,$136.11 ,55257240,$138.77 ,$140.23 ,$135.12 
6/30/2025,$141.90 ,42972470,$144.00 ,$146.00 ,$141.01 
6/27/2025,$143.81 ,61937850,$144.18 ,$147.75 ,$141.63 
6/26/2025,$143.68 ,58180080,$145.97 ,$146.00 ,$141.91 
6/25/2025,$143.40 ,74607220,$140.94 ,$144.18 ,$139.46 
6/24/2025,$138.43 ,78572000,$133.43 ,$138.79 ,$132.93 
6/23/2025,$129.58 ,65152870,$130.47 ,$133.25 ,$126.82 
6/20/2025,$128.24 ,79930980,$129.00 ,$132.81 ,$127.55 
6/18/2025,$126.79 ,49627110,$128.01 ,$129.21 ,$125.77 
6/17/2025,$127.10 ,86623910,$127.93 ,$130.70 ,$126.58 
6/16/2025,$126.39 ,100968500,$118.64 ,$128.14 ,$117.78 
6/13/2025,$116.16 ,39702740,$116.05 ,$117.88 ,$115.06 
6/12/2025,$118.50 ,44718370,$120.62 ,$122.25 ,$118.03 
6/11/2025,$121.14 ,32261860,$124.44 ,$124.47 ,$119.88 
6/10/2025,$123.24 ,41691910,$121.11 ,$124.09 ,$120.80 
6/9/2025,$121.73 ,55437650,$119.18 ,$122.37 ,$119.04 
6/6/2025,$116.19 ,27042080,$117.69 ,$118.38 ,$115.88 
6/5/2025,$115.69 ,34182900,$118.95 ,$119.24 ,$114.71 
6/4/2025,$118.58 ,31024990,$117.41 ,$119.30 ,$115.73 
6/3/2025,$117.31 ,37161480,$114.50 ,$117.68 ,$113.28 
6/2/2025,$114.63 ,34078360,$111.06 ,$114.86 ,$111.01 
5/30/2025,$110.73 ,36088470,$111.58 ,$112.11 ,$108.62 
5/29/2025,$113.03 ,30572130,$115.49 ,$115.54 ,$112.13 
5/28/2025,$112.86 ,27483740,$114.92 ,$114.95 ,$112.66 
5/27/2025,$114.56 ,37885020,$113.18 ,$115.40 ,$112.27 
5/23/2025,$110.31 ,30867270,$108.09 ,$111.02 ,$107.67 
5/22/2025,$110.71 ,29251960,$111.90 ,$112.64 ,$110.61 
5/21/2025,$112.06 ,43594610,$113.85 ,$116.10 ,$111.09 
5/20/2025,$113.51 ,29030820,$114.35 ,$114.51 ,$112.08 
5/19/2025,$114.74 ,37737370,$115.02 ,$115.53 ,$114.06 
5/16/2025,$117.17 ,43419700,$118.07 ,$118.24 ,$116.01 
5/15/2025,$114.99 ,43843240,$117.02 ,$117.50 ,$114.01 
5/14/2025,$117.72 ,86743700,$119.83 ,$122.52 ,$116.59 
5/13/2025,$112.46 ,55659510,$109.60 ,$113.13 ,$109.00 
5/12/2025,$108.12 ,50543400,$110.42 ,$110.67 ,$106.98 
5/9/2025,$102.84 ,31704260,$102.59 ,$103.54 ,$101.60 
5/8/2025,$101.70 ,54231360,$101.92 ,$105.44 ,$101.56 
5/7/2025,$100.36 ,86648750,$100.75 ,$103.42 ,$96.88 
5/6/2025,$98.62 ,54264250,$98.41 ,$100.07 ,$97.44 
5/5/2025,$100.59 ,41268890,$99.00 ,$102.05 ,$98.76 
5/2/2025,$98.80 ,29957890,$98.40 ,$99.88 ,$98.30 
5/1/2025,$96.65 ,29591510,$99.27 ,$100.10 ,$96.45 
4/30/2025,$97.35 ,29730730,$92.81 ,$97.55 ,$91.87 
4/29/2025,$96.06 ,20700640,$95.76 ,$97.18 ,$95.33 
4/28/2025,$96.39 ,30456680,$95.58 ,$97.49 ,$94.27 
4/25/2025,$96.65 ,28575340,$93.28 ,$97.10 ,$92.85 
4/24/2025,$94.47 ,33681920,$91.59 ,$94.75 ,$90.37 
4/23/2025,$90.39 ,41102590,$91.88 ,$93.74 ,$90.12 
4/22/2025,$86.26 ,35236740,$86.12 ,$87.17 ,$85.17 
4/21/2025,$85.56 ,33855390,$86.02 ,$86.14 ,$83.75 
4/17/2025,$87.50 ,34801440,$88.84 ,$89.03 ,$86.52 
4/16/2025,$88.29 ,62109020,$87.61 ,$90.47 ,$85.30 
4/15/2025,$95.29 ,28116540,$94.66 ,$96.85 ,$94.62 
4/14/2025,$94.50 ,36002970,$97.11 ,$97.37 ,$93.45 
4/11/2025,$93.40 ,57892600,$90.51 ,$94.76 ,$90.50 
4/10/2025,$88.70 ,65210570,$91.00 ,$92.95 ,$85.06 
4/9/2025,$96.84 ,97827350,$79.22 ,$97.91 ,$78.87 
4/8/2025,$78.21 ,69910230,$86.15 ,$88.93 ,$76.48 
4/7/2025,$83.64 ,70515430,$80.68 ,$89.00 ,$77.75 
4/4/2025,$85.76 ,65847020,$90.10 ,$91.08 ,$83.67 
4/3/2025,$93.80 ,50472540,$97.79 ,$99.45 ,$93.64 
4/2/2025,$102.96 ,20793990,$101.52 ,$104.19 ,$100.76 
4/1/2025,$102.78 ,23523230,$102.16 ,$102.83 ,$100.93 
3/31/2025,$102.74 ,30865340,$100.24 ,$102.82 ,$98.80 
3/28/2025,$103.22 ,31069110,$105.53 ,$106.51 ,$102.48 
3/27/2025,$106.65 ,32773710,$106.11 ,$107.62 ,$105.55 
3/26/2025,$110.19 ,39976490,$114.11 ,$115.90 ,$108.68 
3/25/2025,$114.81 ,29077510,$113.27 ,$114.95 ,$112.71 
3/24/2025,$113.85 ,53342000,$109.73 ,$114.85 ,$109.40 
3/21/2025,$106.44 ,30767940,$105.33 ,$107.25 ,$104.33 
3/20/2025,$107.14 ,26871840,$105.12 ,$108.26 ,$105.12 
3/19/2025,$106.23 ,32287500,$104.42 ,$107.90 ,$101.96 
3/18/2025,$103.51 ,27152830,$103.85 ,$104.55 ,$102.97 
3/17/2025,$104.59 ,43689520,$102.60 ,$106.15 ,$102.60 
3/14/2025,$100.97 ,24715270,$99.64 ,$101.22 ,$99.58 
3/13/2025,$98.11 ,28575150,$99.72 ,$100.07 ,$97.27 
3/12/2025,$100.79 ,34241290,$99.05 ,$101.72 ,$98.17 
3/11/2025,$96.76 ,34078300,$96.79 ,$98.16 ,$94.73 
3/10/2025,$96.63 ,38733190,$98.57 ,$101.29 ,$95.83 
3/7/2025,$100.31 ,33254370,$98.88 ,$100.65 ,$96.39 
3/6/2025,$98.85 ,28984980,$99.05 ,$101.08 ,$98.27 
3/5/2025,$101.67 ,27855490,$100.36 ,$101.84 ,$98.87 
3/4/2025,$100.75 ,54156940,$96.00 ,$103.18 ,$95.89 
3/3/2025,$98.23 ,38957990,$101.52 ,$102.34 ,$97.09 
2/28/2025,$99.86 ,45194580,$99.56 ,$101.80 ,$98.69 
2/27/2025,$99.51 ,47263730,$105.08 ,$105.76 ,$99.50 
2/26/2025,$104.74 ,29178210,$104.95 ,$105.80 ,$103.99 
2/25/2025,$103.96 ,39169160,$107.89 ,$108.64 ,$103.62 
2/24/2025,$108.11 ,29072210,$111.49 ,$111.60 ,$107.98 
2/21/2025,$110.84 ,41353680,$114.85 ,$115.76 ,$110.43 
2/20/2025,$114.17 ,27219570,$115.01 ,$116.55 ,$113.11 
2/19/2025,$114.69 ,28807710,$114.25 ,$116.11 ,$113.14 
2/18/2025,$114.28 ,31720310,$114.05 ,$115.55 ,$113.45 
2/14/2025,$113.10 ,32477160,$112.65 ,$114.63 ,$111.70 
2/13/2025,$111.81 ,40911800,$112.00 ,$114.60 ,$110.40 
2/12/2025,$111.72 ,25319730,$109.52 ,$111.84 ,$109.06 
2/11/2025,$111.10 ,35033760,$108.98 ,$113.07 ,$108.94 
2/10/2025,$110.48 ,34905360,$108.44 ,$111.40 ,$108.15 
2/7/2025,$107.56 ,46082500,$109.13 ,$109.92 ,$106.79 
2/6/2025,$110.16 ,50426590,$110.93 ,$112.56 ,$109.02 
2/5/2025,$112.01 ,110609300,$107.61 ,$112.09 ,$106.50 
2/4/2025,$119.50 ,69412090,$115.45 ,$119.85 ,$114.79 
2/3/2025,$114.27 ,34586050,$113.88 ,$115.16 ,$112.98 
1/31/2025,$115.95 ,40533570,$119.14 ,$119.57 ,$115.33 
1/30/2025,$118.86 ,29788380,$118.53 ,$120.44 ,$117.09 
1/29/2025,$117.35 ,40199050,$115.77 ,$118.52 ,$114.96 
1/28/2025,$114.17 ,40554760,$115.18 ,$116.15 ,$112.95 
1/27/2025,$115.01 ,61067890,$117.80 ,$118.08 ,$112.80 
1/24/2025,$122.84 ,31570300,$124.55 ,$125.25 ,$122.23 
1/23/2025,$123.04 ,24921110,$121.43 ,$123.71 ,$120.63 
1/22/2025,$123.75 ,35023840,$123.08 ,$125.65 ,$121.91 
1/21/2025,$122.28 ,31578830,$122.39 ,$123.75 ,$121.12 
1/17/2025,$121.46 ,35765920,$120.78 ,$122.74 ,$120.55 
1/16/2025,$118.44 ,29414130,$120.24 ,$121.09 ,$118.25 
1/15/2025,$119.96 ,38185820,$117.55 ,$120.42 ,$117.46 
1/14/2025,$116.09 ,37005280,$118.00 ,$118.66 ,$114.50 
1/13/2025,$117.32 ,39128900,$115.28 ,$117.48 ,$114.41 
1/10/2025,$116.04 ,59415610,$118.18 ,$118.71 ,$114.45 
1/8/2025,$121.84 ,46723140,$124.51 ,$125.30 ,$120.12 
1/7/2025,$127.33 ,39220410,$130.51 ,$131.71 ,$126.85 
1/6/2025,$129.55 ,48020190,$129.07 ,$130.73 ,$127.36 
1/3/2025,$125.37 ,36785300,$121.65 ,$125.56 ,$121.42 
1/2/2025,$120.63 ,34256180,$122.29 ,$123.14 ,$119.44 
12/31/2024,$120.79 ,30203430,$123.10 ,$123.55 ,$120.14 
12/30/2024,$122.44 ,30501640,$123.56 ,$124.10 ,$122.35 
12/27/2024,$125.19 ,32924010,$124.37 ,$126.18 ,$122.26 
12/26/2024,$125.06 ,25139140,$125.52 ,$127.30 ,$125.05 
12/24/2024,$126.29 ,24829560,$127.51 ,$127.51 ,$124.66 
12/23/2024,$124.60 ,47777900,$120.71 ,$126.34 ,$120.47 
12/20/2024,$119.21 ,53591210,$118.00 ,$121.86 ,$117.90 
12/19/2024,$118.88 ,46160670,$122.16 ,$123.38 ,$118.45 
12/18/2024,$121.41 ,49724440,$125.43 ,$127.75 ,$120.43 
12/17/2024,$125.02 ,43314940,$124.45 ,$127.08 ,$123.15 
