cpi date,CPI
1/1/2020,3.192467
2/1/2020,2.268274
3/1/2020,0.1271693
4/1/2020,-2.158071
5/1/2020,-0.191344
6/1/2020,2.86989
7/1/2020,6.704425
8/1/2020,2.76341
9/1/2020,-0.343255
10/1/2020,0.6718187
11/1/2020,2.439317
12/1/2020,1.181325
1/1/2021,0.6343287
2/1/2021,2.40666
3/1/2021,2.396838
4/1/2021,5.253486
5/1/2021,4.069936
6/1/2021,2.814704
7/1/2021,3.814957
8/1/2021,2.827088
9/1/2021,2.879476
10/1/2021,5.504936
11/1/2021,4.609836
12/1/2021,4.399687
1/1/2022,6.726841
2/1/2022,6.218277
3/1/2022,5.437106
4/1/2022,7.322595
5/1/2022,7.067589
6/1/2022,8.182287
7/1/2022,6.091643
8/1/2022,7.106256
9/1/2022,7.541343
10/1/2022,5.159723
11/1/2022,5.972342
12/1/2022,5.76375
1/1/2023,6.041604
2/1/2023,6.676862
3/1/2023,3.83391
4/1/2023,5.844193
5/1/2023,3.626988
6/1/2023,3.499061
7/1/2023,3.872487
8/1/2023,4.296492
9/1/2023,4.941818
10/1/2023,4.288618
11/1/2023,3.67405
12/1/2023,4.15563
1/1/2024,6.574248
2/1/2024,4.239726
3/1/2024,5.066094
4/1/2024,4.645514
5/1/2024,2.40129
6/1/2024,2.722785
7/1/2024,3.216374
8/1/2024,3.487143
9/1/2024,3.746153
10/1/2024,3.696635
11/1/2024,2.635152
12/1/2024,2.606621
1/1/2025,5.088831902
2/1/2025,2.934407711
3/1/2025,1.958172083
4/1/2025,3.663179874
5/1/2025,2.19236207
