Date,Company,Close_Price,Volume,Open_Price,Highest_Price,Lowest_Price,CPI,Interest_Rate,GDP
7/13/2020,AMD,53.59,57741820,56.68,58.35,53.38,,,
7/13/2020,Intel,58.58,19082940,59.84,60.62,58.39,,,
7/13/2020,NVDA,10.05,457074800,10.6,10.79,10.03,,,
7/13/2020,Qualcomm,91.33,7606351,93.3,94.13,91.2,,,
7/13/2020,Telsa,99.8,584780108,110.6,119.67,98.07,,,
7/14/2020,AMD,54.72,54890110,53.3,54.86,52.26,,,
7/14/2020,Intel,58.98,24190870,57.87,59.25,57.35,,,
7/14/2020,NVDA,10.38,542674400,10.08,10.4,9.79,,,
7/14/2020,Qualcomm,92.38,6570953,90.86,92.62,89.2,,,
7/14/2020,Telsa,101.12,351271924,103.73,106,95.4,,,
7/15/2020,AMD,55.34,42360280,54.96,55.37,53.59,,,
7/15/2020,Intel,59.03,19986310,59.03,59.34,58.42,,,
7/15/2020,NVDA,10.23,403984800,10.41,10.43,10.06,,,
7/15/2020,Qualcomm,92.55,6154056,92.93,92.93,91.01,,,
7/15/2020,Telsa,103.07,245517327,102.87,103.33,97.13,,,
7/16/2020,AMD,54.92,36887080,54.68,55.15,53.74,,,
7/16/2020,Intel,59.14,12425870,58.54,59.36,58.4,,,
7/16/2020,NVDA,10.13,344964720,10.02,10.21,9.9,,,
7/16/2020,Qualcomm,91.2,6178667,91.26,91.75,90.68,,,
7/16/2020,Telsa,100.04,214511743,98.48,102.11,97.73,,,
7/17/2020,AMD,55.04,34710410,55.31,55.81,54.68,,,
7/17/2020,Intel,60,16322810,59.42,60.46,59.28,,,
7/17/2020,NVDA,10.2,266284640,10.23,10.25,10.09,,,
7/17/2020,Qualcomm,92.23,5985862,91.68,92.46,91,,,
7/17/2020,Telsa,100.06,139949510,100.9,102.5,99.33,,,
7/20/2020,AMD,57.46,45034250,55.23,57.53,54.83,,,
7/20/2020,Intel,61.15,16868660,60.08,61.38,59.34,,,
7/20/2020,NVDA,10.51,284850840,10.27,10.53,10.16,,,
7/20/2020,Qualcomm,93.17,5407473,92.19,93.27,91.3,,,
7/20/2020,Telsa,109.53,256820422,101.27,110,99.2,,,
7/21/2020,AMD,57,44800690,57.81,58.5,56.32,,,
7/21/2020,Intel,60.7,19830310,61.52,61.93,60.44,,,
7/21/2020,NVDA,10.33,277666840,10.51,10.56,10.29,,,
7/21/2020,Qualcomm,92.31,7099738,93.55,93.85,91.81,,,
7/21/2020,Telsa,104.56,242359079,109.33,111.67,103.87,,,
7/22/2020,AMD,61.79,135159400,57.07,62,56.97,,,
7/22/2020,Intel,61.05,18959920,61.31,61.77,60.62,,,
7/22/2020,NVDA,10.44,367290840,10.37,10.6,10.29,,,
7/22/2020,Qualcomm,92.6,4366672,92.74,93.29,91.67,,,
7/22/2020,Telsa,106.16,212416094,106.6,108.43,104.13,,,
7/23/2020,AMD,59.57,106829100,61.63,62.33,58.63,,,
7/23/2020,Intel,60.4,43518550,61.26,61.74,59.98,,,
7/23/2020,NVDA,10.13,411661200,10.45,10.55,10.03,,,
7/23/2020,Qualcomm,89.67,9438516,92.91,92.97,89.23,,,
7/23/2020,Telsa,100.87,364927318,111.93,112.6,98.72,,,
7/24/2020,AMD,69.4,205314500,64.18,69.94,64.05,,,
7/24/2020,Intel,50.59,182269900,52.15,52.18,49.5,,,
7/24/2020,NVDA,10.19,473292000,9.88,10.36,9.78,,,
7/24/2020,Qualcomm,88.89,9519999,89.21,90.29,87.51,,,
7/24/2020,Telsa,94.47,290949155,94.4,97.67,91.1,,,
7/27/2020,AMD,68.97,107918100,69.28,71.63,67.79,,,
7/27/2020,Intel,49.57,107526500,51.03,51.14,49.47,,,
7/27/2020,NVDA,10.42,292130200,10.23,10.44,10.22,,,
7/27/2020,Qualcomm,92.7,8021665,90.02,92.84,89.26,,,
7/27/2020,Telsa,102.64,240729930,95.67,103.2,94.2,,,
7/28/2020,AMD,67.61,94181370,68.1,69.8,67.02,,,
7/28/2020,Intel,49.24,62362610,49.48,50.23,49.14,,,
7/28/2020,NVDA,10.22,271636040,10.37,10.38,10.21,,,
7/28/2020,Qualcomm,91.45,5818417,92.17,92.59,90.57,,,
7/28/2020,Telsa,98.43,237130381,100.27,104.31,98.29,,,
7/29/2020,AMD,76.09,132969700,75.5,77.19,73.9,,,
7/29/2020,Intel,48.07,60500810,49.49,49.5,47.9,,,
7/29/2020,NVDA,10.47,284507680,10.39,10.52,10.35,,,
7/29/2020,Qualcomm,93.03,11453040,92.08,93.62,91.74,,,
7/29/2020,Telsa,99.94,141403324,100.07,102.32,99.13,,,
7/30/2020,AMD,78.2,80286890,75.37,78.96,75.07,,,
7/30/2020,Intel,47.99,39735190,47.83,48.5,47.59,,,
7/30/2020,NVDA,10.61,308880160,10.38,10.62,10.3,,,
7/30/2020,Qualcomm,107.19,42122510,102.42,107.69,100.7,,,
7/30/2020,Telsa,99.17,114315528,99.2,100.88,98.07,,,
7/31/2020,AMD,77.43,71699670,78.67,78.96,75.36,,,
7/31/2020,Intel,47.73,46569880,48.13,48.32,46.97,,,
7/31/2020,NVDA,10.61,386286000,10.56,10.77,10.43,,,
7/31/2020,Qualcomm,105.61,16770270,105.66,107.75,104.51,,,
7/31/2020,Telsa,95.38,183704308,101,101.14,94.73,,,
8/3/2020,AMD,77.67,42628820,78.19,78.5,77.06,,,
8/3/2020,Intel,48.3,31767140,48.27,48.63,47.74,,,
8/3/2020,NVDA,11.01,413018400,10.73,11.1,10.72,,,
8/3/2020,Qualcomm,109.59,18903470,107.4,113,107.03,,,
8/3/2020,Telsa,99,132140124,96.61,100.65,96.29,,,
8/4/2020,AMD,85.04,155676100,78.03,85.81,77.99,,,
8/4/2020,Intel,49.13,29045840,48.6,49.14,48.5,,,
8/4/2020,NVDA,11.23,310335600,11.05,11.23,10.91,,,
8/4/2020,Qualcomm,110.95,10205400,109.49,111.02,108.66,,,
8/4/2020,Telsa,99.13,126224787,99.67,101.83,97.47,,,
8/5/2020,AMD,85.31,65737310,84.96,86.32,83.32,,,
8/5/2020,Intel,48.92,29471070,49.72,49.72,48.66,,,
8/5/2020,NVDA,11.29,250499720,11.24,11.37,11.17,,,
8/5/2020,Qualcomm,111.39,7970393,111,112.46,110.08,,,
8/5/2020,Telsa,99,74670188,99.53,99.99,97.89,,,
8/6/2020,AMD,86.71,53961740,85.49,86.98,84.78,,,
8/6/2020,Intel,48.57,23795530,48.79,48.82,48.1,,,
8/6/2020,NVDA,11.34,244315680,11.35,11.36,11.18,,,
8/6/2020,Qualcomm,111.06,6392228,111.23,111.36,109.93,,,
8/6/2020,Telsa,99.31,89884650,99.39,101.15,98.48,,,
8/7/2020,AMD,84.85,66543160,86.67,87.29,82.67,,,
8/7/2020,Intel,48.03,36765230,48.53,48.65,47.7,,,
8/7/2020,NVDA,11.2,342515960,11.31,11.5,11.04,,,
8/7/2020,Qualcomm,108.25,11155940,110.01,111.05,106,,,
8/7/2020,Telsa,96.85,133446233,99.97,99.98,94.33,,,
8/10/2020,AMD,82.24,70536140,85.05,85.16,79.32,,,
8/10/2020,Intel,49.22,37442610,48.2,49.39,48.06,,,
8/10/2020,NVDA,11.17,427796000,11.33,11.41,10.86,,,
8/10/2020,Qualcomm,106.36,10087130,108.6,108.99,105.72,,,
8/10/2020,Telsa,94.57,112833904,96.53,97.17,92.39,,,
8/11/2020,AMD,76.88,77877660,80.71,80.71,76.1,,,
8/11/2020,Intel,48.19,35348090,49.63,49.73,48.06,,,
8/11/2020,NVDA,10.85,354510520,11.07,11.14,10.8,,,
8/11/2020,Qualcomm,108.83,17802960,106.2,112.01,104.74,,,
8/11/2020,Telsa,91.63,129387445,93.07,94.67,91,,,
8/12/2020,AMD,82.61,88607830,78.43,82.88,77.55,,,
8/12/2020,Intel,49.19,30687170,48.67,49.26,48.24,,,
8/12/2020,NVDA,11.44,464942800,10.99,11.47,10.96,,,
8/12/2020,Qualcomm,115.79,18672310,110.39,116.25,109.65,,,
8/12/2020,Telsa,103.65,328482286,98,105.67,95.67,,,
8/13/2020,AMD,81.84,57407360,82.88,84.02,81.54,,,
8/13/2020,Intel,48.56,24774510,49.26,49.33,48.39,,,
8/13/2020,NVDA,11.44,374459560,11.55,11.72,11.36,,,
8/13/2020,Qualcomm,113.41,9958426,116.2,116.2,112.77,,,
8/13/2020,Telsa,108.07,306379497,107.4,110.08,104.48,,,
8/14/2020,AMD,81.3,42389480,81.81,83.24,80.88,,,
8/14/2020,Intel,48.89,22321170,48.73,49.21,48.65,,,
8/14/2020,NVDA,11.56,366436160,11.53,11.7,11.44,,,
8/14/2020,Qualcomm,113.74,6640963,113.3,114.52,112.57,,,
8/14/2020,Telsa,110.05,188664056,111,111.25,108.44,,,
8/17/2020,AMD,82.42,31450160,82.09,83.06,81.55,,,
8/17/2020,Intel,48.93,20018270,49.11,49.31,48.73,,,
8/17/2020,NVDA,12.34,621300800,11.85,12.41,11.82,,,
8/17/2020,Qualcomm,112.18,10282990,113.29,114.49,110.63,,,
8/17/2020,Telsa,122.38,303634648,111.8,123.06,111.52,,,
8/18/2020,AMD,81.66,30970480,82.8,82.88,81.03,,,
8/18/2020,Intel,48.65,19251400,49.26,49.57,48.62,,,
8/18/2020,NVDA,12.26,503446400,12.45,12.5,12.09,,,
8/18/2020,Qualcomm,112.03,6387011,112.91,113.38,111.52,,,
8/18/2020,Telsa,125.81,247117226,126.6,128.26,123.01,,,
8/19/2020,AMD,81.09,37507390,81.78,81.85,80.45,,,
8/19/2020,Intel,48.33,27774980,48.79,48.98,48.25,,,
