Company,Date,Close price,Volume,Open price,Highest price,Lowest price
AMD,7/13/2020,$53.59 ,57741820,$56.68 ,$58.35 ,$53.38 
Intel,7/13/2020,$58.58 ,19082940,$59.84 ,$60.62 ,$58.39 
NVDA,7/13/2020,$10.05 ,457074800,$10.60 ,$10.79 ,$10.03 
Qualcomm,7/13/2020,$91.33 ,7606351,$93.30 ,$94.13 ,$91.20 
Telsa,7/13/2020,$99.80 ,584780108,$110.60 ,$119.67 ,$98.07 
AMD,7/14/2020,$54.72 ,54890110,$53.30 ,$54.86 ,$52.26 
Intel,7/14/2020,$58.98 ,24190870,$57.87 ,$59.25 ,$57.35 
NVDA,7/14/2020,$10.38 ,542674400,$10.08 ,$10.40 ,$9.79 
Qualcomm,7/14/2020,$92.38 ,6570953,$90.86 ,$92.62 ,$89.20 
Telsa,7/14/2020,$101.12 ,351271924,$103.73 ,$106.00 ,$95.40 
AMD,7/15/2020,$55.34 ,42360280,$54.96 ,$55.37 ,$53.59 
Intel,7/15/2020,$59.03 ,19986310,$59.03 ,$59.34 ,$58.42 
NVDA,7/15/2020,$10.23 ,403984800,$10.41 ,$10.43 ,$10.06 
Qualcomm,7/15/2020,$92.55 ,6154056,$92.93 ,$92.93 ,$91.01 
Telsa,7/15/2020,$103.07 ,245517327,$102.87 ,$103.33 ,$97.13 
AMD,7/16/2020,$54.92 ,36887080,$54.68 ,$55.15 ,$53.74 
Intel,7/16/2020,$59.14 ,12425870,$58.54 ,$59.36 ,$58.40 
NVDA,7/16/2020,$10.13 ,344964720,$10.02 ,$10.21 ,$9.90 
Qualcomm,7/16/2020,$91.20 ,6178667,$91.26 ,$91.75 ,$90.68 
Telsa,7/16/2020,$100.04 ,214511743,$98.48 ,$102.11 ,$97.73 
AMD,7/17/2020,$55.04 ,34710410,$55.31 ,$55.81 ,$54.68 
Intel,7/17/2020,$60.00 ,16322810,$59.42 ,$60.46 ,$59.28 
NVDA,7/17/2020,$10.20 ,266284640,$10.23 ,$10.25 ,$10.09 
Qualcomm,7/17/2020,$92.23 ,5985862,$91.68 ,$92.46 ,$91.00 
Telsa,7/17/2020,$100.06 ,139949510,$100.90 ,$102.50 ,$99.33 
AMD,7/20/2020,$57.46 ,45034250,$55.23 ,$57.53 ,$54.83 
