"date,close,volume,open,high,low,company,cpi,interest_rate,gdp"
"2024-10-01,159.75,31831860,164.48,165.4,158.08,AMD,3.696635,4.83,29723.864"
"2024-09-30,164.08,21920300,163.1,165.08,162.18,AMD,3.696635,4.83,29723.864"
"2024-09-27,164.35,27876040,167.48,168.73,163.74,AMD,3.696635,4.83,29723.864"
"2024-09-26,167.49,38044920,167.06,168.68,164.05,AMD,3.696635,4.83,29723.864"
"2024-09-25,162.02,35233260,158.5,162.95,158.18,AMD,3.696635,4.83,29723.864"
"2024-09-24,158.32,27531200,157.46,159.64,154.58,AMD,3.696635,4.83,29723.864"
"2024-09-23,156.75,21728540,156.45,157.19,154.97,AMD,3.696635,4.83,29723.864"
"2024-09-20,155.95,40248200,156.0,157.45,152.47,AMD,3.696635,4.83,29723.864"
"2024-09-19,156.74,44499980,153.81,159.25,152.77,AMD,3.696635,4.83,29723.864"
"2024-09-18,148.29,26320080,150.9,152.82,148.01,AMD,3.696635,4.83,29723.864"
"2024-09-17,150.82,29888990,153.55,154.05,149.23,AMD,3.696635,4.83,29723.864"
"2024-09-16,152.08,27677760,151.7,154.44,150.91,AMD,3.696635,4.83,29723.864"
"2024-09-13,152.31,25117240,152.32,153.03,150.7,AMD,3.696635,4.83,29723.864"
"2024-09-12,150.77,29286170,148.43,151.54,147.65,AMD,3.696635,4.83,29723.864"
"2024-09-11,149.86,50935390,145.33,150.16,140.71,AMD,3.696635,4.83,29723.864"
"2024-09-10,142.84,37217530,139.06,143.08,137.25,AMD,3.696635,4.83,29723.864"
"2024-09-09,138.15,27194510,136.1,138.45,134.86,AMD,3.696635,4.83,29723.864"
"2024-09-06,134.35,39993510,138.7,139.13,132.11,AMD,3.696635,4.83,29723.864"
"2024-09-05,139.44,25023020,138.2,141.71,137.83,AMD,3.696635,4.83,29723.864"
"2024-09-04,140.87,42130650,140.51,143.37,138.51,AMD,3.696635,4.83,29723.864"
"2024-09-03,136.94,42172670,146.41,146.49,136.1,AMD,3.696635,4.83,29723.864"
"2024-08-30,148.56,31169070,147.52,148.99,145.25,AMD,3.696635,4.83,29723.864"
"2024-08-29,145.49,31602110,146.59,149.49,144.47,AMD,3.696635,4.83,29723.864"
